"bank_code"|"bank_branch_code"|"bank_branch_name_en"|"bank_branch_name_th"|"last_upd_date"
"066"|"0041"|"TANYONGMAT BRANCH"|"สาขาตันหยงมัส นราธิวาส"|"2023-07-05 15:57:59"
"030"|"0233"|"LAPLAE BRANCH"|"สาขาลับแล"|"2023-07-05 15:57:59"
"014"|"0962"|"LOTUS BANGPHAEO BRANCH"|"สาขาโลตัส บ้านแพ้ว"|"2023-07-05 15:57:59"
"098"|"0311"|"CHUM PHAE"|"สาขาชุมแพ"|"2023-07-05 15:57:59"
"030"|"0745"|"CENTRAL PINKLAO BRANCH"|"สาขาเซ็นทรัล ปิ่นเกล้า"|"2023-07-05 15:57:59"
"030"|"0791"|"PHRA SAMUT CHEDI BRANCH"|"สาขาพระสมุทรเจดีย์"|"2023-07-05 15:57:59"
"034"|"0211"|"NONG KUNG SI"|"สาขาหนองกุงศรี"|"2023-07-05 15:57:59"
"011"|"0639"|"ROBINSON SARABURI BRANCH"|"สาขาโรบินสัน สระบุรี"|"2023-07-05 15:57:59"
"025"|"0410"|"LOTUS'S HAT YAI BRANCH"|"สาขาโลตัส หาดใหญ่"|"2023-07-05 15:57:59"
"034"|"0865"|"SAO HAI"|"สาขาเสาไห้"|"2023-07-05 15:57:59"
"030"|"0930"|"THAP KHLO BRANCH"|"สาขาทับคล้อ"|"2023-07-05 15:57:59"
"014"|"5704"|""|"SCB INVESTMENT CENTER - CENTRAL PLAZA RAMA2"|"2023-07-05 15:57:59"
"025"|"0140"|"PRATU CHANG PHUAK BRANCH"|"สาขาประตูช้างเผือก"|"2023-07-05 15:57:59"
"002"|"0772"|"TALAD SANSAI CHIANG MAI BRANCH"|"สาขาตลาดสันทราย เชียงใหม่"|"2023-07-05 15:57:59"
"004"|"1013"|"WIANG SA BRANCH"|"สาขาเวียงสา"|"2023-07-05 15:57:59"
"006"|"0209"|"PHANAT  NIKHOM BRANCH"|"สาขาพนัสนิคม"|"2023-07-05 15:57:59"
"065"|"0225"|"KRATUMBAN BR."|"สาขากระทุ่มแบน"|"2023-07-05 15:57:59"
"067"|"0135"|"SEACON SQUARE BRANCH"|"สาขาซีคอนสแควร์"|"2023-07-05 15:57:59"
"919"|"0023"|""|"บิ๊กซี บางพลี (2)"|"2023-07-04 17:39:48"
"073"|"0001"|"TESCO LOTUS RUAMCHOK (CHIANGMAI) BRANCH"|"สาขาเทสโก้ โลตัส รวมโชค (เชียงใหม่)"|"2023-07-05 15:57:59"
"004"|"0836"|"K PARK PTT THANON PHUTTHA MONTHON SAI 4 BRANCH"|"เค พาร์ค สาขาปตท.ถนนพุทธมณฑล สาย 4"|"2023-07-05 15:57:59"
"004"|"0721"|"CHOK CHAI 4 BRANCH"|"สาขาโชคชัย 4"|"2023-07-05 15:57:59"
"034"|"0263"|"TAKUA PA"|"สาขาตะกั่วป่า"|"2023-07-05 15:57:59"
"030"|"0898"|"SAVE ONE MARKET BRANCH"|"สาขาตลาดเซฟวัน"|"2023-07-05 15:57:59"
"034"|"0310"|"UTHUMPHON PHISAI"|"สาขาอุทุมพรพิสัย"|"2023-07-05 15:57:59"
"004"|"0793"|"LOTUS'S NONG RUA BRANCH"|"สาขาโลตัส หนองเรือ"|"2023-07-05 15:57:59"
"069"|"0046"|"NONTHABURI BRANCH"|"นนทบุรี"|"2023-07-05 15:57:59"
"004"|"0278"|"TAKHLI BRANCH"|"สาขาตาคลี"|"2023-07-05 15:57:59"
"006"|"0942"|"สำนักงานผู้แทนร่างกุ้ง"|"สำนักงานผู้แทนร่างกุ้ง"|"2023-07-04 17:39:48"
"014"|"0731"|"MCCORMICK HOSPITAL(CHIANG MAI) BRANCH"|"สาขาโรงพยาบาลแมคคอร์มิค (เชียงใหม่)"|"2023-07-05 15:57:59"
"011"|"0393"|"HOT"|"สาขาฮอด"|"2023-07-04 17:39:48"
"065"|"0626"|"SURIN PLAZA BRANCH"|"สาขาสุรินทร์ พลาซ่า"|"2023-07-05 15:57:59"
"034"|"0737"|"KOK SRI"|"สาขาโคกศรี"|"2023-07-05 15:57:59"
"071"|"0535"|"HUA IT MARTKET (NAKHON SI THAMMARAT) LENDING BRANCH"|"สาขาสินเชื่อเพื่อรายย่อย ตลาดหัวอิฐ (นครศรีธรรมราช)"|"2023-07-05 15:57:59"
"030"|"0965"|"THE SCENE TOWN IN TOWN BRANCH"|"สาขาเดอะซีน ทาวน์ อิน ทาวน์"|"2023-07-05 15:57:59"
"006"|"0629"|"WICHIAN  BURI BRANCH"|"สาขาวิเชียรบุรี"|"2023-07-05 15:57:59"
"004"|"1177"|"THANON LAM LUK KA (KHLONG 8) BRANCH"|"สาขาถนนลำลูกกา (คลอง 8)"|"2023-07-04 17:39:48"
"065"|"0520"|"MCMORMICK HOSPITAL (CHIANG MAI) RANCH"|"สาขาโรงพยาบาลแมคคอร์มิค (เชียงใหม่)"|"2023-07-04 17:39:48"
"030"|"0169"|"BAN MI BRANCH"|"สาขาบ้านหมี่"|"2023-07-05 15:57:59"
"014"|"0257"|"SUANCHATUCHAK"|"สวนจตุจักร"|"2023-07-05 15:57:59"
"011"|"0522"|"KO CHANGE BRANCH"|"สาขาเกาะช้าง"|"2023-07-04 17:39:48"
"030"|"1013"|"CHONG SADAO BRANCH"|"สาขาช่องสะเดา"|"2023-07-05 15:57:59"
