"customer_type_code"|"customer_type_desc_en"|"customer_type_desc_th"|"last_upd_date"
"62"|"Exchange (Foreign)"|"ศูนย์ซื้อขายสินทรัพย์ดิจิทัล (ต่างประเทศ)"|"2020-06-23 04:18:00"
"11"|"Individual Investor (Domestic)"|"ผู้ลงทุนบุคคลธรรมดา (ในประเทศ)"|"2020-06-23 03:52:20"
"52"|"Broker (Foreign)"|"นายหน้าซื้อขายสินทรัพย์ดิจิทัล (ต่างประเทศ)"|"2020-06-23 03:52:20"
"22"|"Juristic Investor (Foreign)"|"ผู้ลงทุนนิติบุคคล (ต่างประเทศ)"|"2020-06-23 03:52:20"
"61"|"Exchange (Domestic)"|"ศูนย์ซื้อขายสินทรัพย์ดิจิทัล (ในประเทศ)"|"2020-06-23 04:18:00"
"41"|"Dealer (Domestic)"|"ผู้ค้าสินทรัพย์ดิจิทัล (ในประเทศ)"|"2020-06-23 03:52:20"
"32"|"Institution Investor (Foreign)"|"ผู้ลงทุนสถาบัน (ต่างประเทศ)"|"2020-06-23 03:52:20"
"92"|"Other (Foreign)"|"อื่นๆ (ต่างประเทศ)"|"2020-06-23 03:52:20"
"21"|"Juristic Investor (Domestic)"|"ผู้ลงทุนนิติบุคคล (ในประเทศ)"|"2020-06-23 03:52:20"
"31"|"Institution Investor (Domestic)"|"ผู้ลงทุนสถาบัน (ในประเทศ)"|"2020-06-23 03:52:20"
"51"|"Broker (Domestic)"|"นายหน้าซื้อขายสินทรัพย์ดิจิทัล (ในประเทศ)"|"2020-06-23 03:52:20"
"91"|"Other (Domestic)"|"อื่นๆ (ในประเทศ)"|"2020-11-30 12:39:55"
"12"|"Individual Investor (Foreign)"|"ผู้ลงทุนบุคคลธรรมดา (ต่างประเทศ)"|"2020-06-23 03:52:20"
"42"|"Dealer (Foreign)"|"ผู้ค้าสินทรัพย์ดิจิทัล (ต่างประเทศ)"|"2020-06-23 03:52:20"
