"location_code"|"location_region_code"|"location_name_th"|"province_name_th"|"province_name_en"|"province_abbr_name_th"|"province_abbr_name_en"|"district_name_th"|"district_name_en"|"sub_district_name_th"|"sub_district_name_en"|"post_code"|"last_upd_date"
"0103808471"|"104900005 "|"กรุงเทพมหานคร เขตบางบอน แขวงบางบอนใต้"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตบางบอน"|"BANG BON"|"แขวงบางบอนใต้"|"BANG BON TAI"|"10150"|"2021-10-21 00:00:00"
"0103800001"|"104900005 "|"กรุงเทพมหานคร"|"กรุงเทพมหานคร"|"Bangkok"||||||||"2020-10-29 12:00:24"
"0103800002"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"||||"2020-10-29 12:00:24"
"0103800003"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงพระบรมมหาราชวัง"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงพระบรมมหาราชวัง"|"PHRA BOROM MAHA RATCHAWANG"|"10200"|"2020-10-29 12:00:24"
"0103800004"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงวังบูรพาภิรมย์"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงวังบูรพาภิรมย์"|"WANG BURAPHA PHIROM"|"10200"|"2020-10-29 12:00:24"
"0103800005"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงวัดราชบพิธ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงวัดราชบพิธ"|"WAT RATCHABOPHIT"|"10200"|"2020-10-29 12:00:24"
"0103800006"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงสำราญราษฎร์"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงสำราญราษฎร์"|"SAMRAN RAT"|"10200"|"2020-10-29 12:00:24"
"0103800007"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงศาลเจ้าพ่อเสือ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงศาลเจ้าพ่อเสือ"|"SAN CHAOPHO SUEA"|"10200"|"2020-10-29 12:00:24"
"0103800008"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงเสาชิงช้า"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงเสาชิงช้า"|"SAO CHINGCHA"|"10200"|"2020-10-29 12:00:24"
"0103800009"|"104900005 "|"กรุงเทพมหานคร เขตพระนคร แขวงบวรนิเวศ"|"กรุงเทพมหานคร"|"Bangkok"|||"เขตพระนคร"|"PHRA NAKHON"|"แขวงบวรนิเวศ"|"BOWON NIWET"|"10200"|"2020-10-29 12:00:24"
