"nationality_code"|"nationality_name_th"|"nationality_name_en"|"last_upd_date"
"0106200234"|"มาร์ตีนิก"|"MARTINIQUAIS"|"2020-11-11 08:54:38"
"0106200001"|"กรีก"|"GREEK"|"2020-08-01 17:15:02"
"0106200002"|"กัมพูชา"|"CAMBODIAN"|"2020-08-01 17:15:03"
"0106200003"|"กัวเตมาลา"|"GUATEMALAN"|"2020-08-01 17:15:03"
"0106200004"|"กาตาร์"|"QATARI"|"2020-08-01 17:15:03"
"0106200005"|"กานา"|"GHANAIAN"|"2020-08-01 17:15:03"
"0106200006"|"กาบอง"|"GABONES"|"2020-08-01 17:15:03"
"0106200007"|"กายอานา"|"GUYANESE"|"2020-08-01 17:15:03"
"0106200008"|"กินี"|"GUINEAN"|"2020-08-01 17:15:03"
"0106200009"|"กินีบิสเซา"|"GUINEA-BISSAU"|"2020-08-01 17:15:03"
"0106200010"|"เกรเนดา"|"GRESNADIAN"|"2020-08-01 17:15:03"
"0106200011"|"เกาหลีใต้"|"SOUTH KOREAN"|"2020-08-01 17:15:03"
"0106200012"|"เกาหลีเหนือ"|"NORTH KOREAN"|"2020-08-01 17:15:03"
"0106200013"|"เกิร์นซีย์"|"GUERNSEY"|"2020-08-01 17:15:03"
"0106200014"|"แกมเบีย"|"GAMBIAN"|"2020-08-01 17:15:03"
"0106200015"|"โกตดิวัวร์"|"IVORIAN"|"2020-08-01 17:15:03"
"0106200016"|"คองโก"|"CONGOLESE"|"2020-08-01 17:15:03"
"0106200017"|"คอโมโรส"|"COMORAN"|"2020-08-01 17:15:03"
"0106200018"|"คอสตาริกา"|"COSTA RICAN"|"2020-08-01 17:15:03"
"0106200019"|"คาซัค"|"KAZAKHSTANI"|"2020-08-01 17:15:03"
"0106200020"|"คิริบาส"|"I-KIRBATI"|"2020-08-01 17:15:03"
"0106200021"|"คิวบา"|"CUBAN"|"2020-08-01 17:15:03"
"0106200022"|"คีร์กีซ"|"KYRGYZ"|"2020-08-01 17:15:03"
"0106200023"|"คูเวต"|"KUWAITI"|"2020-08-01 17:15:03"
"0106200024"|"เคนยา"|"KENYAN"|"2020-08-01 17:15:03"
"0106200025"|"เคปเวิร์ด"|"CABO VERDEAN"|"2020-08-01 17:15:03"
"0106200026"|"แคนาดา"|"CANADIAN"|"2020-08-01 17:15:03"
"0106200027"|"แคเมอรูน"|"CAMEROONIAN"|"2020-08-01 17:15:03"
"0106200028"|"โครเอเซีย"|"CROATIAN"|"2020-08-01 17:15:03"
"0106200029"|"โคลัมเบีย"|"COLOMBIAN"|"2020-08-01 17:15:03"
"0106200030"|"จอร์เจียน"|"GEORGIAN"|"2020-08-01 17:15:03"
"0106200031"|"จอร์แดน"|"JORDANIAN"|"2020-08-01 17:15:03"
"0106200032"|"จาเมกา"|"JAMAICAN"|"2020-08-01 17:15:03"
"0106200033"|"จิบูตี"|"DJIBOUTIAN"|"2020-08-01 17:15:03"
"0106200034"|"จีน"|"CHINESE"|"2020-08-01 17:15:03"
"0106200035"|"ชาด"|"CHADIAN"|"2020-08-01 17:15:03"
"0106200036"|"ชิลี"|"CHILEAN"|"2020-08-01 17:15:03"
"0106200037"|"เชค"|"CZECH"|"2020-08-01 17:15:03"
"0106200038"|"ซานมารีโน"|"SAMMARINESE"|"2020-08-01 17:15:03"
"0106200039"|"ซามัว"|"SAMOAN"|"2020-08-01 17:15:03"
"0106200040"|"ซาอุดีอาระเบียน"|"SAUDI ARABIAN"|"2020-08-01 17:15:03"
"0106200041"|"ซิมบับเว"|"ZIMBABWEAN"|"2020-08-01 17:15:03"
"0106200042"|"ซีเรีย"|"SYRIAN"|"2020-08-01 17:15:03"
"0106200043"|"ซูดาน"|"SUDANESE"|"2020-08-01 17:15:03"
"0106200044"|"ซูรินาเม"|"SURINAMER"|"2020-08-01 17:15:03"
"0106200045"|"เซเชลส์"|"SEYCHELLES"|"2020-08-01 17:15:03"
"0106200046"|"เซนต์คิตส์และเนวิส"|"OF SAINT KITTS AND NEVIS"|"2020-08-01 17:15:03"
"0106200047"|"เซนต์ลูเซีย"|"SAINT LUCIAN"|"2020-08-01 17:15:03"
"0106200048"|"เซนต์วินเซนต์และเกรนาดีนส์"|"OF SAINT VINCENT AND THE GRENADINES"|"2020-08-01 17:15:03"
"0106200049"|"เซเนกัล"|"SENEGALESE"|"2020-08-01 17:15:03"
"0106200050"|"เซอร์เบีย"|"SERBIA"|"2020-08-01 17:15:03"
"0106200051"|"เซาตูเมและปรินซิปี"|"OF SAO TOME AND PRINCIPE"|"2020-08-01 17:15:03"
"0106200052"|"เซียร์ราลีโอน"|"SIERRA LEONEAN"|"2020-08-01 17:15:03"
"0106200053"|"แซมเบีย"|"ZAMBIAN"|"2020-08-01 17:15:03"
"0106200054"|"โซมาเลีย"|"SOMALI"|"2020-08-01 17:15:03"
"0106200055"|"ไซปรัส"|"CYPRIOT"|"2020-08-01 17:15:03"
"0106200056"|"ญี่ปุ่น"|"JAPANESE"|"2020-08-01 17:15:03"
"0106200057"|"ดัชท์"|"DUTCH"|"2020-08-01 17:15:03"
"0106200058"|"ดัชท์แอนทิลลิส"|"DUTCH ANTILLIAN"|"2020-08-01 17:15:03"
"0106200059"|"เดนมาร์ค"|"DANISH/DANE"|"2020-08-01 17:15:03"
"0106200060"|"โดมินิกัน"|"DOMINICAN"|"2020-08-01 17:15:03"
"0106200061"|"ตรินิแดด"|"TRINIDADIAN"|"2020-08-01 17:15:03"
"0106200062"|"ตองกา"|"TONGAN"|"2020-08-01 17:15:03"
"0106200063"|"ติมอร์"|"TIMORESE"|"2020-08-01 17:15:03"
"0106200064"|"ตุรกี"|"TURKISH"|"2020-08-01 17:15:04"
"0106200065"|"ตูนิเซียน"|"TUNISIAN"|"2020-08-01 17:15:04"
"0106200066"|"ตูวาลู"|"TUVALUAN"|"2020-08-01 17:15:04"
"0106200067"|"เติร์กเมน"|"TURKMEN"|"2020-08-01 17:15:04"
"0106200068"|"โตโก"|"TOGOLESE"|"2020-08-01 17:15:04"
"0106200069"|"ไต้หวัน"|"CHINESE TAIPEI"|"2020-08-01 17:15:04"
"0106200070"|"ทาจิกิสถาน"|"TAJIKISTANI"|"2020-08-01 17:15:04"
"0106200071"|"แทนซาเนีย"|"TANZANIAN"|"2020-08-01 17:15:04"
"0106200072"|"ไทย"|"THAI"|"2020-08-01 17:15:04"
"0106200073"|"วาติกัน"|"VATICAN"|"2020-08-01 17:15:04"
"0106200074"|"นอร์เวย์"|"NORWEGIAN"|"2020-08-01 17:15:04"
"0106200075"|"นามิเบีย"|"NAMIBIAN"|"2020-08-01 17:15:04"
"0106200076"|"นาอูรู"|"NAURUAN"|"2020-08-01 17:15:04"
"0106200077"|"นิการากัว"|"NICARAGUAN"|"2020-08-01 17:15:04"
"0106200078"|"นิวซีแลนด์"|"NEW ZEALAND(ER)"|"2020-08-01 17:15:04"
"0106200079"|"เนปาล"|"NEPALESE"|"2020-08-01 17:15:04"
"0106200080"|"ไนจีเรียน"|"NIGERIAN"|"2020-08-01 17:15:04"
"0106200081"|"ไนเจอร์เรียน"|"NIGERIEN"|"2020-08-01 17:15:04"
"0106200082"|"บราซิล"|"BRAZILIAN"|"2020-08-01 17:15:04"
"0106200083"|"บริติช เวอร์จิ้น ไอส์แลนด์"|"BRITISH VERGIN ISLANDER"|"2020-08-01 17:15:04"
"0106200084"|"บรูไน"|"BRUNEIAN"|"2020-08-01 17:15:04"
"0106200085"|"บอตสวานา"|"BOTSWANA"|"2020-08-01 17:15:04"
"0106200086"|"บอสเนียและเฮอร์เซโกวีนา"|"BOSNIAN"|"2020-08-01 17:15:04"
"0106200087"|"บังกลาเทศ"|"BANGLADESHI"|"2020-08-01 17:15:04"
"0106200088"|"บัลแกเรีย"|"BULGARIAN"|"2020-08-01 17:15:04"
"0106200089"|"บาร์เบโดส"|"BARBADIAN"|"2020-08-01 17:15:04"
"0106200090"|"บาห์เรน"|"BAHRAINI"|"2020-08-01 17:15:04"
"0106200091"|"บาฮาเมียน"|"BAHAMAS"|"2020-08-01 17:15:04"
"0106200092"|"บุรุนดี"|"BURUNDIAN"|"2020-08-01 17:15:04"
"0106200093"|"บูร์กินาฟาโซ"|"BURKINABE"|"2020-08-01 17:15:04"
"0106200094"|"เบนิน"|"BENINESE"|"2020-08-01 17:15:04"
"0106200095"|"เบลเยียม"|"BELGIAN"|"2020-08-01 17:15:04"
"0106200096"|"เบลารุส"|"BELARUSIAN"|"2020-08-01 17:15:04"
"0106200097"|"เบลีซ"|"BELIZE"|"2020-08-01 17:15:04"
"0106200098"|"เบอมิวดา"|"BERMUDAN"|"2020-08-01 17:15:04"
"0106200099"|"โบลิเวีย"|"BOLIVIAN"|"2020-08-01 17:15:04"
"0106200100"|"ปากีสถาน"|"PAKISTANI"|"2020-08-01 17:15:04"
"0106200101"|"ปานามา"|"PANAMANIAN"|"2020-08-01 17:15:04"
"0106200102"|"ปาปัวนิวกินี"|"PAPUA NEW GUINEAN"|"2020-08-01 17:15:04"
"0106200103"|"ปารากวัย"|"PARAGUAYAN"|"2020-08-01 17:15:04"
"0106200104"|"ปาเลา"|"OF PALAU"|"2020-08-01 17:15:04"
"0106200105"|"เปรู"|"PERUVIAN"|"2020-08-01 17:15:04"
"0106200106"|"โปรตุเกส"|"PORTUGUESE"|"2020-08-01 17:15:04"
"0106200107"|"โปแลนด์"|"POLISH/POLE"|"2020-08-01 17:15:04"
