da_asset_short_name|report_date|da_quantity|da_asset_id|intermediary_id|customer_type|table_id|is_digital_asset_outstanding|fiat_asset_id|customer_status|da_wallet_address|customer_code|is_update|fiat_quantity|da_asset_isin|customer_code_amlo
|||||11||||HNW||1122A0215||||
|||||11||||HNW||112501057||||
|||||11||||UHNW||112520673||||
|||||11||||HNW||112501108||||
|||||11||||UHNW||1124A0116||||
|||||11||||HNW||1122A0218||||
|||||11||||HNW||1124A0425||||
|||||11||||HNW||112501110||||
|||||11||||HNW||112501061||||
|||||11||||HNW||112501112||||
|||||11||||RI||112501099||||
|||||11||||UHNW||1124A0480||||
|||||11||||HNW||112501222||||
|||||11||||HNW||112520658||||
|||||11||||HNW||1124A0106||||
|||||11||||HNW||112501226||||
|||||11||||HNW||112501227||||
|||||11||||UHNW||1124A0105||||
|||||11||||HNW||112501223||||
|||||11||||UHNW||1124A0504||||
|||||11||||HNW||112520657||||
|||||11||||HNW||112501115||||
|||||11||||HNW||112501058||||
|||||11||||UHNW||112501114||||
|||||11||||HNW||112401110||||
|||||11||||RI||112501064||||
|||||11||||HNW||112501117||||
|||||11||||UHNW||112501220||||
|||||11||||HNW||112501118||||
|||||11||||RI||112401111||||
|||||11||||HNW||112501065||||
|||||11||||RI||112401112||||
|||||11||||HNW||112501045||||
|||||11||||HNW||112501119||||
|||||11||||HNW||112501066||||
|||||11||||UHNW||112501067||||
|||||11||||HNW||1124A0443||||
|||||11||||HNW||112501152||||
|||||11||||HNW||1123A0400||||
|||||11||||HNW||112501105||||
|||||11||||UHNW||112501068||||
|||||11||||HNW||112501153||||
|||||11||||HNW||112501155||||
|||||11||||HNW||1122A0338||||
|||||11||||HNW||112520650||||
|||||11||||HNW||112501156||||
|||||11||||HNW||112401027||||
|||||11||||UHNW||1124A0417||||
|||||11||||HNW||112501116||||
|||||11||||HNW||112501157||||
|||||11||||HNW||112501072||||
|||||11||||UHNW||112501225||||
|||||11||||HNW||112501071||||
|||||11||||HNW||112501074||||
|||||11||||RI||112401104||||
|||||11||||HNW||112501161||||
|||||11||||HNW||112501077||||
|||||11||||HNW||112501162||||
|||||11||||RI||112501030||||
|||||11||||HNW||112501080||||
|||||11||||HNW||112501069||||
|||||11||||HNW||1123A0096||||
|||||11||||HNW||112501084||||
|||||11||||HNW||112501075||||
|||||11||||RI||112501164||||
|||||11||||RI||112501166||||
|||||11||||UHNW||112501163||||
|||||11||||HNW||112501088||||
|||||11||||HNW||112501089||||
|||||11||||UHNW||1124A0389||||
|||||11||||HNW||112501170||||
|||||11||||HNW||112501091||||
|||||11||||HNW||112501090||||
|||||11||||HNW||112501172||||
|||||11||||UHNW||112501173||||
|||||11||||HNW||112501092||||
|||||11||||HNW||112501093||||
|||||11||||UHNW||112501174||||
|||||11||||HNW||112501175||||
|||||11||||HNW||112501094||||
|||||11||||RI||112501177||||
|||||11||||HNW||112501095||||
|||||11||||HNW||112501178||||
|||||11||||HNW||112501096||||
|||||11||||HNW||112501181||||
|||||11||||HNW||112501098||||
|||||11||||HNW||112501078||||
|||||11||||RI||112401115||||
|||||11||||RI||112501184||||
|||||11||||HNW||112501100||||
|||||11||||UHNW||1124A0614||||
|||||11||||RI||112501106||||
|||||11||||HNW||112501185||||
|||||11||||HNW||112501101||||
|||||11||||UHNW||112501186||||
|||||11||||HNW||1124A0520||||
|||||11||||HNW||112520603||||
|||||11||||HNW||112501104||||
|||||11||||HNW||1120A0038||||
|||||11||||HNW||1124A0397||||
|||||11||||RI||112501188||||
|||||11||||HNW||112520606||||
|||||11||||RI||112501003||||
|||||11||||HNW||112520610||||
|||||11||||RI||112501004||||
|||||11||||HNW||112520624||||
|||||11||||UHNW||112520627||||
|||||11||||RI||112501007||||
|||||11||||RI||112501009||||
|||||11||||HNW||112520628||||
|||||11||||RI||112501010||||
|||||11||||HNW||112520631||||
|||||11||||RI||112501012||||
|||||11||||HNW||112520632||||
|||||11||||HNW||112520633||||
|||||11||||RI||112501011||||
|||||11||||RI||112501006||||
|||||11||||UHNW||112520634||||
|||||11||||RI||112501013||||
|||||11||||UHNW||112520635||||
|||||11||||UHNW||1124A0130||||
|||||11||||RI||112501015||||
|||||11||||HNW||1123A0099||||
|||||11||||HNW||1123A0100||||
|||||11||||HNW||112501022||||
|||||11||||UHNW||1124A0413||||
|||||11||||RI||112501023||||
|||||11||||HNW||112520636||||
|||||11||||RI||112501025||||
|||||11||||UHNW||112520637||||
|||||11||||RI||112501024||||
|||||11||||UHNW||1124A0128||||
|||||11||||RI||112501026||||
|||||11||||HNW||112520638||||
|||||11||||RI||112501028||||
|||||11||||UHNW||112501073||||
|||||11||||RI||112501031||||
|||||11||||UHNW||1123A0385||||
|||||11||||RI||112501033||||
|||||11||||RI||112501032||||
|||||11||||HNW||112520640||||
|||||11||||RI||112501034||||
|||||11||||UHNW||112520641||||
|||||11||||HNW||112501035||||
|||||11||||UHNW||112520642||||
|||||11||||HNW||112501021||||
|||||11||||HNW||112520643||||
|||||11||||HNW||112501036||||
|||||11||||UHNW||112520644||||
|||||11||||UHNW||112520645||||
|||||11||||HNW||112501018||||
|||||11||||HNW||112520646||||
|||||11||||HNW||112520647||||
|||||11||||HNW||112520648||||
|||||11||||UHNW||112501042||||
|||||11||||HNW||112520649||||
|||||11||||HNW||112501043||||
|||||11||||UHNW||112501044||||
|||||11||||UHNW||112520651||||
|||||11||||HNW||112501047||||
|||||11||||UHNW||112501048||||
|||||11||||UHNW||112520652||||
|||||11||||UHNW||112501214||||
|||||11||||UHNW||112501215||||
|||||11||||HNW||112501216||||
|||||11||||HNW||112501217||||
|||||11||||UHNW||112501218||||
|||||11||||HNW||112520653||||
|||||11||||HNW||112520654||||
|||||11||||HNW||112520655||||
|||||11||||UHNW||1124A0136||||
|||||11||||HNW||112520656||||
|||||11||||HNW||1124A0492||||
|||||11||||UHNW||112501221||||
|||||11||||UHNW||1124A0481||||
|||||11||||HNW||112501224||||
|||||11||||UHNW||112520659||||
|||||11||||HNW||1124A0471||||
|||||11||||HNW||112520660||||
|||||11||||UHNW||112520661||||
|||||11||||HNW||112501228||||
|||||11||||HNW||112501097||||
|||||11||||HNW||112520662||||
|||||11||||HNW||112501189||||
|||||11||||UHNW||112501052||||
|||||11||||HNW||1122A0027||||
|||||11||||HNW||112501054||||
|||||11||||RI||112501183||||
